id,verite_label,ground_truth,predicted,correct,confidence,entity_score,temporal_score,credibility_score,final_score,claim,time_sec,source
171,true,PRISTINE,PRISTINE,YES,62,0.5,0.8,0.65,0.62,"Image shows demonstrators wearing 'I Can Breathe' shirts in December 2014, months after the death of Eric Garner, a blac",39.8,VERITE
174,true,PRISTINE,PRISTINE,YES,63,0.6,0.65,0.8,0.63,"Photograph shows police officers arrest a black male in Rochester, Minnesota in 2019.",31.3,VERITE
177,true,PRISTINE,PRISTINE,YES,67,0.6,0.8,0.8,0.675,"Image of Justine Damond, a white woman, was killed by a police officer named Mohamed Noor in Minneapolis in 2017.",34.6,VERITE
180,true,PRISTINE,PRISTINE,YES,65,0.65,0.8,0.65,0.657,"Photograph shows McDonald's burning in November 2016 after a grease fire started in Lebanon, Pennsylvania.",35.7,VERITE
183,true,PRISTINE,PRISTINE,YES,58,0.6,0.65,0.55,0.58,"Photograph shows Jonathan Riches, a supporter of U.S. President Donald Trump who is also a former federal inmate, wearin",83.1,VERITE
192,true,PRISTINE,PRISTINE,YES,58,0.6,0.65,0.55,0.58,Image shows a naked person is using bedsheets to escape a building in a stealth promotion created for the television ser,40.6,VERITE
195,true,PRISTINE,PRISTINE,YES,64,0.6,0.75,0.7,0.64,U.S. President Donald Trump said 'I don't care how sick you are. [...] Get out and vote' during a campaign event in Nove,30.4,VERITE
198,true,PRISTINE,PRISTINE,YES,58,0.6,0.65,0.55,0.58,Image from comedic youtube video during the COVID-19 pandemic showing a person using violent tactics to enforce social d,30.2,VERITE
76,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,61,0.1,0.65,0.2,0.385,Photograph shows the 'USS Al Gore' global warming research vessel being frozen in February 2021.,26.1,VERITE
91,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,60,0.6,0.2,0.34,0.403,Image shows former child star Amanda Bynes working a 9 to 5 job in product support.,28.7,VERITE
94,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,74,0.2,0.0,0.35,0.245,Photograph shows Trump family looting historical artifacts from the White House.,24.0,VERITE
201,true,PRISTINE,PRISTINE,YES,52,0.25,0.75,0.55,0.522,Photograph shows a soldier rescuing a starving donkey during the Algerian War in 1958 by carrying it on his back.,47.1,VERITE
204,true,PRISTINE,PRISTINE,YES,69,0.6,0.8,0.9,0.695,Photograph shows anti-surveillance protesters tearing down a 'smart' lamppost in Hong Kong in August 2019.,48.8,VERITE
207,true,PRISTINE,PRISTINE,YES,66,0.8,0.75,0.55,0.66,Air Force One during U.S. President George W. Bush's trip to the annual NASCAR race in 2004.,25.7,VERITE
210,true,PRISTINE,PRISTINE,YES,59,0.65,0.65,0.55,0.593,"Image of a mother fox feeding fox cubs near Montréal, Canada in 2009.",47.9,VERITE
213,true,PRISTINE,PRISTINE,YES,69,0.8,0.8,0.65,0.695,Photograph of a mass of people at the 50th anniversary celebration for the Golden Gate Bridge.,25.3,VERITE
100,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,58,0.1,0.65,0.34,0.413,Photograph of a living triceratops being unloaded from a truck in Indonesia in December 2020.,26.8,VERITE
216,true,PRISTINE,PRISTINE,YES,65,0.8,0.65,0.65,0.65,"Image shows a life-size statue of a horse in an apartment in Galena, Illinois.",46.7,VERITE
225,true,PRISTINE,PRISTINE,YES,61,0.6,0.75,0.55,0.61,"Image shows thousands of people at a parade in honor of the 2019 NBA Champions, the Toronto Raptors, taken in June 2019.",28.5,VERITE
231,true,PRISTINE,PRISTINE,YES,59,0.65,0.65,0.55,0.593,Photograph of a Greta Thunberg look-alike shooting a gun.,35.0,VERITE
237,true,PRISTINE,PRISTINE,YES,66,0.6,0.65,0.95,0.66,"Image of Nancy Pelosi meeting with Mexican President Enrique Peña Nieto, kicking off a three-country tour to discuss sec",54.6,VERITE
106,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,80,0.5,0.5,0.5,0.5,A banned photograph of a man in a suit walking on the moon reveals the 1969 moon landing was a hoax.,44.3,VERITE
107,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,75,0.5,0.5,0.5,0.5,"A photograph of Wernher von Braun walking on a replica model of the moon landing at the Southeastern Fair in Atlanta, Ge",27.3,VERITE
86,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,78,0.5,0.5,0.5,0.5,"Α photograph shows οne of the nine parents that were deported by Trump, being reunited with his child in the U.S. in Jan",22.5,VERITE
89,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,70,0.5,0.5,0.5,0.5,Photograph of a spectacled hairless Andean bear named Dolores.,15.8,VERITE
109,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,80,0.5,0.5,0.5,0.5,"This photograph of Paris Hilton and Britney Spears, taken by Hilton in 2006, was the world's first selfie.",31.6,VERITE
110,out-of-context,OUT-OF-CONTEXT,PRISTINE,NO,85,0.5,0.5,0.5,0.5,"A selfie of Paris Hilton and Britney Spears, taken in 2006.",63.7,VERITE
116,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,65,0.5,0.5,0.5,0.5,Image shows three U.S. Democratic senators during the confirmation hearing of Supreme Court nominee Brett Kavanaugh in S,71.2,VERITE
246,true,PRISTINE,PRISTINE,YES,62,0.5,0.5,0.5,0.5,Image shows a group of people playfully gathered around their co-worker who was found sleeping at work.,29.3,VERITE
249,true,PRISTINE,OUT-OF-CONTEXT,NO,80,0.5,0.5,0.5,0.5,Image shows a crowd of people during a 'crusade' by the religious group 'In His Name Ministries' in November 2014 in Nik,26.7,VERITE
252,true,PRISTINE,PRISTINE,YES,67,0.5,0.5,0.5,0.5,"An image shows shacks by Roma people in Paris, France in 2015.",31.6,VERITE
258,true,PRISTINE,PRISTINE,YES,72,0.5,0.5,0.5,0.5,A photograph from the 1977 ballet 'Blaubart' by the late German dancer and choreographer Pina Bausch.,29.9,VERITE
119,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,68,0.5,0.5,0.5,0.5,Photograph shows empty envelopes being disposed after the election in November 2018.,32.3,VERITE
122,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,80,0.5,0.5,0.5,0.5,Image shows portions of a fishnet as well as several fish being stuck up on power lines after traffic accident with a fi,39.0,VERITE
124,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,80,0.5,0.5,0.5,0.5,A photograph shows the Supreme Army General of Antifa in Portland.,26.1,VERITE
125,out-of-context,OUT-OF-CONTEXT,PRISTINE,NO,60,0.5,0.5,0.5,0.5,A photograph of a 19 year-old Japanese student with an unusual punk-inspired style who has garnered some attention in th,33.2,VERITE
127,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,87,0.5,0.5,0.5,0.5,Photograph shows a priest giving the last rites to a Cuban farmer who was being executed because he refused to work for ,32.6,VERITE
267,true,PRISTINE,PRISTINE,YES,85,0.5,0.5,0.5,0.5,A photograph shows a woman recruit of the Somali Army checking her automatic weapon at a military training campus at Hal,50.5,VERITE
270,true,PRISTINE,OUT-OF-CONTEXT,NO,65,0.5,0.5,0.5,0.5,A long exposure photograph of an ingloo that is illuminated by a flashlight inside of it.,20.5,VERITE
273,true,PRISTINE,PRISTINE,YES,70,0.5,0.5,0.5,0.5,"A photograph of a homeless encampment in San Jose, California, southeast of San Francisco.",28.2,VERITE
276,true,PRISTINE,PRISTINE,YES,85,0.5,0.5,0.5,0.5,"Photograph shows House Speaker Nancy Pelosi and 13 members of Congress in Ghana, marked the 400-year anniversary of the ",32.9,VERITE
285,true,PRISTINE,OUT-OF-CONTEXT,NO,68,0.5,0.5,0.5,0.5,Image shows a 'We plan to cut all homeless people in half by 2025' sign created by street artist who goes by the name of,89.4,VERITE
128,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,73,0.5,0.5,0.5,0.5,"Photograph shows a member of Batista's army who was charged as a war criminal, being executed by a Fidel Castro firing s",62.0,VERITE
131,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,65,0.5,0.5,0.5,0.5,Photograph of goodyear Blimp flying over New Jersey in September 2020.,53.5,VERITE
134,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,65,0.5,0.5,0.5,0.5,"Photograph shows mounds of refuse and other trash in Greenpoint, a neighborhood in northern Brooklyn, New York after a t",64.0,VERITE
136,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,65,0.5,0.5,0.5,0.5,Image of Jesus on a table miraculously formed after salt was spilled from a fallen shaker.,61.6,VERITE
137,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,92,0.5,0.5,0.5,0.5,"Image of Jesus by artist Rob Ferrel who uses a variety of media to create his artworks, including salt and other food pr",63.2,VERITE
288,true,PRISTINE,OUT-OF-CONTEXT,NO,78,0.5,0.5,0.5,0.5,A photograph shows three U.S. women's soccers players after visiting the Jewish heritage museum in New York City.,87.1,VERITE
291,true,PRISTINE,OUT-OF-CONTEXT,NO,85,0.5,0.5,0.5,0.5,"A photograph shows columns of tanks taking part in the U.S. military tanks parade near Capitol Building, Washington DC i",67.4,VERITE
294,true,PRISTINE,OUT-OF-CONTEXT,NO,65,0.5,0.5,0.5,0.5,A German-English dictionary used as part of a crystallization experiment by Catherine McEver in 2014.,64.9,VERITE
309,true,PRISTINE,OUT-OF-CONTEXT,NO,78,0.5,0.5,0.5,0.5,An image of a 12-year-old girl in Brazil with an enlarged liver and spleen.,57.9,VERITE
312,true,PRISTINE,OUT-OF-CONTEXT,NO,65,0.5,0.5,0.5,0.5,"A photogram shows a pile of rubbish left in Hyde Park in the aftermath of a celebration for 420, a marijuana-centric hol",67.4,VERITE
139,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,92,0.5,0.5,0.5,0.5,"Image of Democrats not wearing a mask at the funeral of U.S. Representative John Lewis in July 2020, during the Covid 19",74.8,VERITE
140,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,65,0.5,0.5,0.5,0.5,"Image of President Bill Clinton siting next to Reverend Jesse Jackson during the homegoing service for Jackson's mother,",63.3,VERITE
142,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,74,0.5,0.5,0.5,0.5,Photograph shows buses purchased by Black Lives Matter to transport members to riots.,67.6,VERITE
143,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,65,0.5,0.5,0.5,0.5,"Photograph shows buses of the Toronto Raptors team, who wrapped their buses with the Black Lives Matter name to show of ",61.8,VERITE
145,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,90,0.5,0.5,0.5,0.5,Image of Joe Biden kissing a 15-year-old girl on the lips.,62.6,VERITE
32,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,65,0.5,0.5,0.5,0.5,A Norwegian naval ship is being struck by a missile that was fired by the Norwegian Navy in 2013,37.9,VERITE
38,out-of-context,OUT-OF-CONTEXT,PRISTINE,NO,65,0.5,0.5,0.5,0.5,Image shows historical plane being towed behind a tractor while celebrating the 20th anniversary of the formation of the,64.7,VERITE
47,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,65,0.5,0.5,0.5,0.5,Image of a 12 year old Palestinian activist girl confronting an Israeli soldier in November 2012.,64.8,VERITE
324,true,PRISTINE,OUT-OF-CONTEXT,NO,72,0.5,0.5,0.5,0.5,An image of a toy called 'Abortion Barbie' that was created by an artist to make a politican point against former Texas ,95.5,VERITE
330,true,PRISTINE,PRISTINE,YES,56,0.5,0.5,0.5,0.5,A photograph captures a 7-year-old girl feeling embarrassed for making several mistakes during her participating in a Qu,41.1,VERITE
149,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,65,0.5,0.5,0.5,0.5,Photograph of Dr. Nancy Sullivan of NIH’s National Institute of Allergy and Infectious Diseases (NIAID) discussing Ebola,63.5,VERITE
155,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,72,0.5,0.5,0.5,0.5,Artwork 'Maskcommunication' by artists named Trinidad was created to raise money for teachers who had been stranded by t,97.8,VERITE
336,true,PRISTINE,OUT-OF-CONTEXT,NO,88,0.5,0.5,0.5,0.5,"A photograph captures a protest by a group of Pakistani refugees who had made their way to Lesbos island, Greece, in Mar",38.8,VERITE
339,true,PRISTINE,PRISTINE,YES,62,0.5,0.5,0.5,0.5,"A photograph captures a cruise ship starting up its turbines before dropping anchor, stiring sand and mud from the botto",68.5,VERITE
342,true,PRISTINE,OUT-OF-CONTEXT,NO,80,0.5,0.5,0.5,0.5,A photograph shows an extra from the film Dunkirk doing a 'dab' in the summer of 2016.,76.9,VERITE
148,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,65,0.5,0.5,0.5,0.5,"Photgraph of President Obama, Dr. Anthony Fauci, and Melinda Gates at a laboratory in Wuhan, China, in 2015.",102.6,VERITE
152,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,75,0.5,0.5,0.5,0.5,Imgae of Melania Trump wore a dress designed by Alexander McQueen in collaboration with art students and was inspired by,26.3,VERITE
154,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,79,0.5,0.5,0.5,0.5,Mural painted in 1994 at Denver International Airport that shows citizens of the world wearing masks.,87.9,VERITE
77,out-of-context,OUT-OF-CONTEXT,PRISTINE,NO,90,0.5,0.5,0.5,0.5,"Photograph shows a boat being frozen in Geneva, Switzerland, in 2005",33.0,VERITE
80,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,97,0.5,0.5,0.5,0.5,Image of a sculpture handmade by Susi Brister that is made out of platinum blonde hair extension and is exhibited at the,72.1,VERITE
85,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,82,0.5,0.5,0.5,0.5,"Α photograph shows οne of the nine parents that were deported by Trump, being reunited with his child in the U.S. during",50.6,VERITE
95,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,72,0.5,0.5,0.5,0.5,Photograph shows historical artifacts from the White House being returned to museums and galleries at the end of the pre,55.5,VERITE
97,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,70,0.5,0.5,0.5,0.5,"Image of a cross being erected by rioters in front of the U.S. Capitol, Washington, D.C., on January 6, 2021.",61.5,VERITE
98,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,73,0.5,0.5,0.5,0.5,"Image of a cross being erected by rioters in Michigan Jan. 6, 2020, during a protest against the 2020 election results.",64.3,VERITE
101,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,62,0.5,0.5,0.5,0.5,Photograph of a triceratops model being unloaded from a truck at the Mojosemi Forest Park in Indonesia.,57.1,VERITE
104,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,67,0.5,0.5,0.5,0.5,"Image shows demonstrators during the March for Our Lives rally on March 24, 2018 in the District of Columbia.",68.8,VERITE
158,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,70,0.5,0.5,0.5,0.5,A photograph shows the Bettmann Archive showing a woman and a young boy dressed in KKK garb.,68.9,VERITE
160,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,73,0.5,0.5,0.5,0.5,Image shows an arrested looter amid social unrest in 2020 wearing blackface.,55.4,VERITE
161,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,90,0.5,0.5,0.5,0.5,Image shows a person in blackface taken into police custody for causing a disturbance during an anti-racism march a Cana,64.0,VERITE
163,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,85,0.5,0.5,0.5,0.5,Surveillance camera footage shows person being attacked by Black Lives Matter protesters in June 2020.,114.7,VERITE
164,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,78,0.5,0.5,0.5,0.5,Surveillance camera footage shows an attempted robbery and assault that took place in Minneapolis in August 2019,27.9,VERITE
39,true,PRISTINE,OUT-OF-CONTEXT,NO,65,0.5,0.5,0.5,0.5,A image taken from the movie 'The Search' shows Russian soldiers before they start killing Chechnyans at the start of th,55.5,VERITE
42,true,PRISTINE,OUT-OF-CONTEXT,NO,78,0.5,0.5,0.5,0.5,"Image shows a 'Die in' climate protest in Austria, where protesters got inside of body bags to signify the catastrophic ",64.6,VERITE
